RK,PLAYER,POS,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD,YEAR
NA,Marcus Maye, S,NYJ,17,44,61,0.0,0,2,2,44,32,0,1,0,0,2017
65,Derrick Johnson, LB,KC,23,37,60,0.0,0,5,0,0,0,0,0,1,0,2017
NA,Vontaze Burfict, LB,CIN,17,43,60,1.5,12,2,0,0,0,0,1,0,0,2017
NA,Anthony Barr, LB,MIN,14,46,60,1.0,11,6,0,0,0,0,0,0,0,2017
NA,Kyle Fuller, CB,CHI,8,52,60,0.0,0,13,1,0,0,0,0,0,0,2017
NA,Darqueze Dennard, CB,CIN,14,46,60,2.0,6,5,1,20,20,0,0,0,0,2017
NA,Tre Boston, S,LAC,17,43,60,0.0,0,7,4,24,15,0,0,0,0,2017
NA,
NA,James Bradberry, CB,CAR,12,48,60,1.0,7,6,0,0,0,0,0,0,0,2017
72,Kareem Jackson, CB,HOU,16,43,59,1.0,4,5,0,0,0,0,1,0,0,2017
NA,Damon Harrison, DT,NYG,23,36,59,1.5,14,3,1,9,9,0,0,0,0,2017
NA,Micah Hyde, S,BUF,11,48,59,0.0,0,10,5,64,37,0,0,0,0,2017
75,Thomas Davis, LB,CAR,19,39,58,2.0,13,0,0,0,0,0,0,1,0,2017
NA,Barry Church, S,JAX,13,45,58,1.0,5,5,2,51,51,1,0,0,0,2017
NA,Tyrann Mathieu, S,ARI,5,53,58,1.0,3,6,2,16,15,0,1,0,0,2017
NA,Vince Williams, LB,PIT,12,46,58,6.0,48,0,0,0,0,0,0,0,0,2017
NA,Deone Bucannon, LB,ARI,12,46,58,0.0,0,2,1,39,39,0,1,0,0,2017
NA,Anthony Hitchens, LB,DAL,18,40,58,0.0,0,1,0,0,0,0,0,0,0,2017
,
81,Jake Ryan, LB,GB,25,33,58,1.0,1,0,0,0,0,0,1,1,0,2017
NA,Jalen Mills, CB,PHI,12,46,58,0.0,0,11,3,53,37,1,0,0,0,2017
NA,Justin Evans, S,TB,13,45,58,0.0,0,6,3,28,15,0,0,0,0,2017
84,Malcolm Jenkins, S,PHI,7,50,57,1.0,8,8,2,0,0,0,0,0,0,2017
NA,Andrew Sendejo, S,MIN,18,39,57,0.0,0,5,1,36,36,0,0,0,0,2017
NA,D.J. Swearinger, S,WSH,13,44,57,0.5,3,7,3,32,31,0,0,0,0,2017
NA,Kendell Beckwith, LB,TB,8,49,57,1.0,8,1,0,0,0,0,1,0,0,2017
88,Glover Quin, S,DET,15,41,56,0.0,0,5,3,62,37,1,2,1,0,2017
NA,Vincent Rey, LB,CIN,24,32,56,0.0,0,0,0,0,0,0,0,0,0,2017
NA,Ron Parker, S,KC,7,49,56,0.0,0,2,1,0,0,0,0,0,0,2017
NA,
NA,Trumaine Johnson, CB,LAR,6,50,56,0.0,0,10,2,39,39,1,1,1,0,2017
NA,Khalil Mack, DE,OAK,14,42,56,7.5,56,2,0,0,0,0,1,1,0,2017
NA,Cory James, LB,OAK,14,42,56,0.0,0,1,0,0,0,0,1,0,0,2017
NA,Adrian Amos, S,CHI,3,53,56,0.0,0,3,1,90,90,1,2,1,0,2017
NA,Sean Davis, S,PIT,10,46,56,0.0,0,6,1,41,41,0,1,0,0,2017
NA,Josh Jones, S,GB,6,50,56,2.0,14,1,0,0,0,0,0,0,0,2017
97,Tavon Wilson, S,DET,13,42,55,2.0,19,2,1,23,23,0,1,0,0,2017
NA,George Iloka, S,CIN,19,36,55,0.0,0,4,1,14,14,0,0,0,0,2017
NA,Tony Jefferson, S,BAL,18,37,55,2.0,9,1,1,13,13,0,0,0,0,2017
NA,Jaquiski Tartt, S,SF,17,38,55,0.5,3,3,1,37,37,0,0,0,0,2017
